City_ID,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,anadyr,64.75,177.4833,-9.72,85,40,5.0,RU,1712786043
205,college,64.8569,-147.8028,5.61,48,0,0.45,US,1712786043
206,bubaque,11.2833,-15.8333,23.88,74,12,7.87,GW,1712786043
207,whitehorse,60.7161,-135.0538,5.43,38,75,5.66,CA,1712786043
208,nioki,-2.7167,17.6833,23.56,90,100,1.55,CD,1712786043
209,rehoboth,-23.3167,17.0833,17.66,38,0,1.91,NA,1712786043
210,ponta delgada,37.7333,-25.6667,18.44,88,75,4.63,PT,1712786044
211,przysucha,51.3586,20.6289,12.5,78,100,3.53,PL,1712786044
212,pangody,65.85,74.4859,-31.01,100,95,1.39,RU,1712786044
213,sinabang,2.4803,96.3801,26.1,88,99,1.91,ID,1712786044
214,happy valley-goose bay,53.3168,-60.3315,5.17,45,20,2.57,CA,1712786044
215,alofi,-19.0595,-169.9187,27.94,78,75,7.2,NU,1712786044
216,selibaby,15.159,-12.1829,35.78,14,0,3.48,MR,1712786044
217,micheweni,-4.9667,39.8333,27.94,84,62,3.24,TZ,1712786044
218,koundara,12.4833,-13.3,33.53,18,2,2.47,GN,1712786044
219,steamboat springs,40.485,-106.8317,11.3,45,0,2.57,US,1712785905
220,lannemezan,43.1252,0.384,6.94,74,42,2.25,FR,1712785984
221,khark,29.2614,50.3306,23.05,81,48,3.57,IR,1712786045
222,itoman,26.1247,127.6694,20.61,85,20,4.63,JP,1712786045
223,san luis de la loma,17.2706,-100.8939,29.12,59,16,5.59,MX,1712786045
224,kailua-kona,19.6406,-155.9956,26.98,81,40,5.66,US,1712785878
225,kirakira,-10.4544,161.9205,28.84,68,91,2.51,SB,1712786046
226,haiku-pauwela,20.9219,-156.3051,26.01,63,20,4.02,US,1712786046
227,hammerfest,70.6634,23.6821,3.25,87,75,1.54,NO,1712786046
228,robit,12.0167,39.6333,21.44,71,24,1.07,ET,1712786046
229,guangshui,31.6199,113.9978,13.93,95,42,1.09,CN,1712786046
230,timimoun,29.2639,0.231,24.21,12,0,3.09,DZ,1712786046
231,malkinia gorna,52.6922,22.0284,12.72,70,100,5.01,PL,1712786046
232,porto novo,6.4965,2.6036,27.9,79,80,2.67,BJ,1712786046
233,castillos,-34.1667,-53.8333,15.13,61,73,5.19,UY,1712786047
234,samana,19.2056,-69.3369,27.12,78,40,3.09,DO,1712786047
235,meadow lake,34.8014,-106.5436,21.0,13,0,2.92,US,1712786047
236,sibolga,1.7427,98.7792,25.22,89,73,1.56,ID,1712786047
237,tyuratam,45.6507,63.3156,13.67,46,24,2.4,KZ,1712786047
238,whitby,54.4877,-0.615,14.06,83,100,3.58,GB,1712785870
239,colonia,50.9333,6.95,11.01,71,0,1.03,DE,1712785810
240,gorontalo,0.5412,123.0595,21.63,89,71,1.73,ID,1712786047
241,pacasmayo,-7.4006,-79.5714,23.74,75,73,6.09,PE,1712786047
242,klaksvik,62.2266,-6.589,6.51,96,100,13.51,FO,1712786048
